event_idx,track_idx,muon_pixel_tracks_p,muon_pixel_tracks_pt,muon_pixel_tracks_ptErr,muon_pixel_tracks_chi2,muon_pixel_tracks_normalizedChi2,muon_pixel_tracks_etaErr,muon_pixel_tracks_phiErr,muon_pixel_tracks_dszErr,muon_pixel_tracks_dxyErr,muon_pixel_tracks_dzErr,muon_pixel_tracks_qoverpErr,muon_pixel_tracks_lambdaErr,muon_pixel_tracks_eta,muon_pixel_tracks_nPixelHits,muon_pixel_tracks_nTrkLays,muon_pixel_tracks_nFoundHits,muon_pixel_tracks_nLostHits,muon_pixel_tracks_impact3D,muon_pixel_tracks_impactSignificance,muon_pixel_tracks_chi2PerHit,muon_pixel_tracks_hitEfficiency,muon_pixel_tracks_sigmaPtOverPt,muon_pixel_tracks_relUncertaintyProduct,muon_pixel_tracks_sip2D,muon_pixel_tracks_sipZ,muon_pixel_tracks_dxyOverPt,muon_pixel_tracks_ptErrOverP,muon_pixel_tracks_dzOverDxy,muon_pixel_tracks_absEta,L1TkMu_nStubs,L1TkMu_nStubs_Endcap,L1TkMu_nStubs_Barrel,L1TkMu_stubQual_max,L1TkMu_stubMax_etaRegion,L1TkMu_stubMax_phiRegion,L1TkMu_stubMax_depthRegion,L1TkMu_hasMatch,L1TkMu_dR2min,L1TkMu_dPtNorm,L1TkMu_chi2Pt,L1TkMu_matchingScore,L1TkMu_nCompatible,L1TkMu_secondBest_dR2,is_low_pt
3,4,7.341738939e-01,3.156636953e-01,-1.285359502e+00,7.402476072e-01,-1.048499942e-01,-3.032296896e+00,-2.946347475e+00,-2.419200182e+00,-2.411993504e+00,-2.000760555e+00,-2.334857225e+00,-3.450049400e+00,1.618254542e+00,4.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,-1.471123695e+00,1.265239120e+00,-3.790327534e-02,1.000000000e+00,-1.601014018e+00,-3.201117992e+00,-1.107170820e+00,1.265235186e+00,-3.831985950e+00,-2.019496202e+00,2.782279968e+00,1.618254542e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,2.000000000e+00,-4.000000000e+00,1.500000000e+01,2.000000000e+00,1.000000000e+00,-4.614962101e+00,-2.533356190e+00,-1.867453218e+00,-4.613744736e+00,1.000000000e+00,-3.922820687e-01,9.971651435e-01
3,5,9.620488882e-01,2.861126065e-01,-1.045908332e+00,8.853564262e-01,-1.560356617e-01,-2.934038162e+00,-2.773558378e+00,-2.473687172e+00,-2.330507278e+00,-1.797852755e+00,-2.293859482e+00,-3.608580828e+00,2.238239288e+00,7.000000000e+00,7.000000000e+00,8.000000000e+00,0.000000000e+00,1.126945257e+00,2.361357689e+00,-1.773314551e-02,1.000000000e+00,-1.332016230e+00,-2.663721323e+00,6.368919462e-02,2.361352205e+00,-2.552868605e+00,-2.007917881e+00,2.830303192e+00,2.238239288e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,5.000000000e+00,1.100000000e+01,1.000000000e+00,1.000000000e+00,-4.940275669e+00,-1.471509457e+00,-2.491574138e-01,-4.927091599e+00,1.000000000e+00,-3.902314305e-01,9.978391528e-01
4,0,1.082664609e+00,4.435975552e-01,-9.142113328e-01,2.631504536e-01,-8.507900238e-01,-3.023628235e+00,-2.882658243e+00,-2.563310862e+00,-2.416835546e+00,-1.924366117e+00,-2.440261602e+00,-3.661159277e+00,2.151208639e+00,8.000000000e+00,7.000000000e+00,9.000000000e+00,0.000000000e+00,1.262490392e+00,2.555648088e+00,-6.910901666e-01,1.000000000e+00,-1.357802391e+00,-2.715303421e+00,-3.311951756e-01,2.555647850e+00,-3.191067696e+00,-1.996836424e+00,3.379147291e+00,2.151208639e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,5.000000000e+00,1.500000000e+01,1.000000000e+00,1.000000000e+00,-5.819097042e+00,-2.829867601e+00,-2.943031549e+00,-5.818878174e+00,2.000000000e+00,-1.780343294e+00,9.884073138e-01
4,1,1.015331388e+00,4.233857989e-01,-9.557511210e-01,4.561537504e-01,-5.852373838e-01,-3.018599987e+00,-2.874889612e+00,-2.546798706e+00,-2.399697065e+00,-1.954966784e+00,-2.394257784e+00,-3.609229565e+00,2.039365292e+00,7.000000000e+00,6.000000000e+00,8.000000000e+00,0.000000000e+00,-1.014037013e+00,1.448029518e+00,-4.469351768e-01,1.000000000e+00,-1.379130244e+00,-2.757925987e+00,-3.670363426e-01,1.447978616e+00,-3.189556599e+00,-1.971045732e+00,2.259562254e+00,2.039365292e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,5.000000000e+00,1.500000000e+01,1.000000000e+00,1.000000000e+00,-5.792544842e+00,-2.691896200e+00,-2.623989344e+00,-5.792209625e+00,2.000000000e+00,-1.788203001e+00,9.909714460e-01
4,2,9.393779635e-01,3.538019955e-01,-1.050554395e+00,7.489108443e-01,-2.924810648e-01,-2.962112188e+00,-2.808894873e+00,-2.419688940e+00,-2.283624172e+00,-1.834197164e+00,-2.343488455e+00,-3.546555042e+00,-2.024185896e+00,7.000000000e+00,6.000000000e+00,8.000000000e+00,0.000000000e+00,1.937544793e-01,1.931147099e+00,-1.541785747e-01,1.000000000e+00,-1.404350162e+00,-2.808288097e+00,1.095281690e-01,1.931097746e+00,-2.527835131e+00,-1.989894748e+00,2.270985842e+00,2.024185896e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,-5.000000000e+00,1.400000000e+01,1.000000000e+00,1.000000000e+00,-4.808598042e+00,-1.999337792e+00,-1.181291342e+00,-4.804547310e+00,1.000000000e+00,6.517906785e-01,9.958612323e-01
4,3,1.035867453e+00,3.221812546e-01,-9.586321115e-01,9.275200963e-01,-1.138720810e-01,-2.957787752e+00,-2.738008261e+00,-2.426211357e+00,-2.232491016e+00,-1.712618589e+00,-2.316502094e+00,-3.669833183e+00,-2.326992273e+00,7.000000000e+00,7.000000000e+00,8.000000000e+00,0.000000000e+00,-8.767850995e-01,1.274397969e+00,2.443045378e-02,1.000000000e+00,-1.280808806e+00,-2.561383724e+00,-2.836175263e-01,1.274231672e+00,-2.838065147e+00,-1.994460583e+00,2.077631474e+00,2.326992273e+00,1.000000000e+00,1.000000000e+00,0.000000000e+00,1.000000000e+00,-5.000000000e+00,2.000000000e+00,1.000000000e+00,1.000000000e+00,-4.407904625e+00,-1.742484927e+00,-9.389542341e-01,-4.400315285e+00,2.000000000e+00,6.518011093e-01,9.969826341e-01
4,4,6.377646327e-01,5.250054970e-02,-1.332319140e+00,7.338268161e-01,-3.075650930e-01,-2.719867468e+00,-2.555900812e+00,-2.201369286e+00,-2.082850456e+00,-1.616155982e+00,-2.022115469e+00,-3.304483175e+00,-2.023442507e+00,7.000000000e+00,6.000000000e+00,8.000000000e+00,0.000000000e+00,6.590486765e-01,1.945706487e+00,-1.692626327e-01,1.000000000e+00,-1.384818196e+00,-2.768970251e+00,-2.370596677e-01,1.945697188e+00,-2.372361183e+00,-1.970052481e+00,2.649395943e+00,2.023442507e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.000000000e+00,-1.000000000e+00,-1.000000000e+00,0.000000000e+00,-9.999956489e-01,4.141753038e-07,1.000000000e+00,-6.989678144e-01,0.000000000e+00,4.141753038e-07,9.995663762e-01
5,0,6.668993235e-01,6.460248232e-01,-1.200115204e+00,6.453740597e-01,-3.960176408e-01,-3.317481756e+00,-2.486168385e+00,-2.553622961e+00,-1.992756367e+00,-2.532755852e+00,-2.512881994e+00,-3.338311672e+00,-3.125388622e-01,5.000000000e+00,7.000000000e+00,8.000000000e+00,0.000000000e+00,6.858816147e-01,2.875844717e+00,-2.577152252e-01,1.000000000e+00,-1.846116304e+00,-3.690138102e+00,-1.346619368e+00,2.875844717e+00,-3.981273174e+00,-1.866989374e+00,3.681421041e+00,3.125388622e-01,2.000000000e+00,0.000000000e+00,2.000000000e+00,3.000000000e+00,-1.000000000e+00,1.100000000e+01,2.000000000e+00,1.000000000e+00,-4.794109344e+00,-2.345425129e+00,-1.002655864e+00,-4.792274952e+00,1.000000000e+00,4.141753038e-07,7.590956092e-01
5,1,8.799924850e-01,5.271754265e-01,-1.098197222e+00,4.821927547e-01,-3.629044294e-01,-3.199382782e+00,-3.110358477e+00,-2.625079870e+00,-2.579724789e+00,-2.272364616e+00,-2.505107880e+00,-3.551339149e+00,1.452205300e+00,4.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,4.056327939e-01,2.475262880e+00,-2.959577739e-01,1.000000000e+00,-1.625359654e+00,-3.249859571e+00,-2.606329322e-01,2.475262165e+00,-3.366687298e+00,-1.978153706e+00,3.043039083e+00,1.452205300e+00,4.000000000e+00,4.000000000e+00,0.000000000e+00,3.000000000e+00,4.000000000e+00,1.700000000e+01,1.000000000e+00,1.000000000e+00,-4.596235752e+00,-1.684806705e+00,-1.007642373e-01,-4.587700844e+00,1.000000000e+00,4.141753038e-07,9.632809758e-01
5,2,7.987869978e-01,4.874492586e-01,-1.252348304e+00,5.145706534e-01,-3.305265903e-01,-3.171721935e+00,-3.111964941e+00,-2.587392569e+00,-2.571591616e+00,-2.276140690e+00,-2.538216591e+00,-3.482384443e+00,-1.344258428e+00,3.000000000e+00,6.000000000e+00,6.000000000e+00,0.000000000e+00,6.850888729e-01,2.618769407e+00,-2.635799348e-01,1.000000000e+00,-1.739781380e+00,-3.478077173e+00,1.941368431e-01,2.618766308e+00,-2.864748001e+00,-2.051094055e+00,2.720057011e+00,1.344258428e+00,2.000000000e+00,2.000000000e+00,0.000000000e+00,2.000000000e+00,4.000000000e+00,2.200000000e+01,1.000000000e+00,1.000000000e+00,-5.610397339e+00,-2.499282122e+00,-1.521959543e+00,-5.609583378e+00,1.000000000e+00,4.141753038e-07,9.792776704e-01
